F1,F2,F3,B1,B2,B3,max_formant,smooth_error,time,rel_time,prop_time,id,label,file_name,group,speaker_num,point_heuristic,f0,intensity,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context
647.9306716645876,1460.0802235550389,2734.0921278921655,3.019241786725653,4.15055317124767,3.709393252442969,5512.820512820513,0.00019467347508329315,0.289375,0.031,0.32978723404255317,0-0-1-1,AA0,common_voice_cv_17341746,group_0,1,fave,217.7539689815935,51.423152177516755,5,валерий,0,0.06999999999999995,"","",V,L,V,L,internal
557.2505094310039,1829.8378331578526,2840.7998482465414,3.328774659245103,4.067454683217493,3.563788082315378,5512.820512820513,4.7302265446644175e-6,2.096375,0.025,0.33783783783783783,0-0-5-6,AA0,common_voice_cv_17341746,group_0,1,fave,206.0234213718773,48.416923404957416,5,шупашкарти,0,0.050000000000000266,резервӗсен,училищинче,K,R,K,R,internal
442.30666576032576,2521.3351527696695,3032.625508482849,3.5156977245952645,3.380305627127424,3.7891851406706567,5692.3076923076915,0.0012116443045448537,0.381375,0.05499999999999999,0.33536585365853655,0-0-1-3,EY0,common_voice_cv_17341746,group_0,1,fave,268.4154353730989,51.68238998218423,5,валерий,0,0.14,"","",L,R,L,R,internal
355.2098792352545,2731.8930092310316,3287.4514280824465,3.2348841259445327,3.244532367249974,3.9026716925725857,5692.3076923076915,0.0005402715780894038,0.544375,0.041,0.3306451612903226,0-0-1-5,IY1,common_voice_cv_17341746,group_0,1,fave,253.59910850308543,50.14516422446316,5,валерий,1,0.09999999999999998,"","",R,J,R,J,internal
410.09852711333644,2823.698939542793,3181.787087697506,3.198641247056725,3.7280145454583122,3.9472931420538173,5692.3076923076915,0.0005353510020779012,0.884375,0.041,0.3306451612903226,0-0-3-2,IY1,common_voice_cv_17341746,group_0,1,fave,233.80221406678783,50.92047790053526,5,олимп,1,0.09999999999999998,"",резервӗсен,L,M,L,M,internal
353.70814575487213,2382.41532746839,2919.9784925946756,3.4524818280123433,3.718835194172508,3.8429985328158236,5692.3076923076915,0.00004976156932443027,2.2693749999999997,0.031,0.32978723404255317,0-0-5-9,IY1,common_voice_cv_17341746,group_0,1,fave,274.859400074948,49.85171325213324,5,шупашкарти,1,0.07000000000000028,резервӗсен,училищинче,T,#,T,spn,final
779.403681236788,1666.2839372461724,2970.379681537664,3.9374700393204463,4.034854956208908,3.8383562384330285,5512.820512820513,0.005008402257013581,0.774375,0.041,0.3306451612903226,0-0-3-0,OW0,common_voice_cv_17341746,group_0,1,fave,201.46491483909767,46.27812248665255,5,олимп,0,0.09999999999999998,"",резервӗсен,#,L,"",L,initial
364.94967088944327,1260.1999682455348,2702.3105972964613,3.23543970953646,4.437211838049506,3.718491598328151,5692.3076923076915,0.0008217829925928286,1.7673750000000001,0.027000000000000003,0.32142857142857145,0-0-5-1,UW0,common_voice_cv_17341746,group_0,1,fave,218.2373404530866,43.68679916352926,5,шупашкарти,0,0.06000000000000005,резервӗсен,училищинче,SH,P,SH,P,internal
459.20330132610457,2017.7302770577585,2857.2489303870675,3.5440889238227125,3.268633252981714,4.005414666108483,5871.794871794871,0.00116051039886902,3.102375,0.037000000000000005,0.324561403508772,0-0-7-1,EH0,common_voice_cv_17341746,group_0,1,fave,191.3502125332013,46.735139794549106,5,вӗреннӗ,0,0.0900000000000003,училищинче,"",V,R,V,R,internal
502.40219063073266,2028.4633276675656,3139.886598852654,3.6426508543203497,4.063602540332706,4.195407608374344,5692.3076923076915,0.006712357588358612,3.497375,0.047,0.3263888888888889,0-0-7-5,EH0,common_voice_cv_17341746,group_0,1,fave,156.62451338312061,44.289435455320344,5,вӗреннӗ,0,0.1200000000000001,училищинче,"",nː,#,nː,"",final
