F1,F2,F3,B1,B2,B3,max_formant,smooth_error,time,rel_time,prop_time,id,label,file_name,group,speaker_num,point_heuristic,f0,intensity,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context,sidx,sN,syl_pos,syl_open_closed
535.1447532924747,1109.5229889418397,1502.9227106857088,3.5687569039461238,4.11716493235701,3.826482027234816,3358.974358974359,0.1918818494044639,0.45475,0.467,0.3326210826210826,0-0-1-0,SIL,common_voice_cv_20788617,group_0,1,fave,136.5221263372786,76.53918243660529,3,<eps>,,1.38,тӗллеве,пурнӑҫламашкӑн,#,#,EY1,P,coextensive,,,,
183.60328835819655,1125.2105231758544,1644.9930333917036,2.943144977964369,3.627404699805624,3.531320687295088,3538.4615384615386,0.0537089960602513,2.536375,0.125,0.3342245989304812,0-0-3-0,SIL,common_voice_cv_20788617,group_0,1,fave,134.72020874307287,56.46008555783333,3,<eps>,,0.3500000000000001,пурнӑҫламашкӑн,ҫӑмӑлах,#,#,N,ɕ,coextensive,,,,
552.1187105210912,1174.926779146134,1934.5895931582927,3.480065540858848,4.043501654305517,4.153068831820747,3538.4615384615386,0.140864549141267,5.742328125,0.217,0.3318042813455658,0-0-10-0,SIL,common_voice_cv_20788617,group_0,1,fave,,41.52555717133532,3,<eps>,,0.6296200000000001,тивӗ,#,#,#,EH0,,coextensive,,,,
264.72416704939,1140.8685064278495,1814.889585635391,3.4595800360447293,3.219333714041018,4.516664382181871,3538.4615384615386,6.43261418592e-05,1.766375,0.025,0.3378378378378378,0-0-2-4,AH0,common_voice_cv_20788617,group_0,1,fave,125.62998537123975,83.03582496862444,3,пурнӑҫламашкӑн,0.0,0.05,<eps>,<eps>,N,ɕ,N,ɕ,internal,,,,
465.2577033878077,1263.8498493356992,2575.8901298762166,4.160271671101797,3.773817346249489,4.632491028555838,5333.333333333333,0.027931948781614,2.372375,0.037,0.3245614035087719,0-0-2-12,AH0,common_voice_cv_20788617,group_0,1,fave,81.79311346071762,68.72833556026424,3,пурнӑҫламашкӑн,0.0,0.0900000000000003,<eps>,<eps>,K,N,K,N,internal,,,,
618.3031078228686,1143.9385982370106,2519.8016523302467,3.8959024694155286,3.7033053467383454,4.2995915303229575,6051.282051282051,3.17662363964e-05,1.977375,0.027,0.3214285714285714,0-0-2-7,AA0,common_voice_cv_20788617,group_0,1,fave,127.42016178491822,79.21377153937165,3,пурнӑҫламашкӑн,0.0,0.0599999999999998,<eps>,<eps>,L,M,L,M,internal,,,,
309.73382653330674,878.7910643334022,1265.5630749528216,4.069557902663377,3.723256665671015,3.6535799206307846,3000.0,0.0010456406560906,2.121375,0.035,0.3365384615384615,0-0-2-9,AA1,common_voice_cv_20788617,group_0,1,fave,179.1151301529337,76.65975419067124,3,пурнӑҫламашкӑн,1.0,0.08,<eps>,<eps>,M,SH,M,SH,internal,,,,
488.0508648550365,1284.546122666001,2344.479095549342,4.565784974931906,3.39683015622922,4.918563642928578,5692.307692307692,0.0018421847448565,5.047375000000001,0.027,0.3214285714285714,0-0-8-9,AA1,common_voice_cv_20788617,group_0,1,fave,115.88023564266734,76.96094145853142,3,парӑнтарма,1.0,0.0599999999999996,чӑрмавсене,тивӗ,M,#,M,T,final,,,,
255.16963918160363,1568.8464155391002,2167.5918836747173,2.821439775880488,4.266850885179003,3.8553689385248977,3538.4615384615386,0.0029535661809522,3.419375,0.051,0.3311688311688312,0-0-5-1,IY1,common_voice_cv_20788617,group_0,1,fave,114.63160049827026,76.07852733792531,3,килмӗ,1.0,0.1299999999999999,ҫӑмӑлах,<eps>,K,L,K,L,internal,,,,
260.8611102034127,2119.9877776163157,3172.339145978292,2.7235413853851598,3.4704316733466625,3.4442951570947944,4794.871794871795,0.0003880142002678,5.247375,0.047,0.3263888888888889,0-0-9-1,IY1,common_voice_cv_20788617,group_0,1,fave,95.69013168389506,74.85990274189811,3,тивӗ,1.0,0.1199999999999992,парӑнтарма,<eps>,T,V,T,V,internal,,,,
473.682645837442,1792.9655067488743,2329.626943506147,4.021498052257291,3.4022256957042645,4.385038086919924,4615.384615384615,0.1373447317281313,3.662375,0.097,0.3299319727891156,0-0-5-4,EH0,common_voice_cv_20788617,group_0,1,fave,82.61850955975203,65.20466678549384,3,килмӗ,0.0,0.27,ҫӑмӑлах,<eps>,M,#,M,SIL,final,,,,
435.69216076952495,1766.804237045013,3283.2094198844525,4.091154482728377,3.356603054214696,4.815903067659732,6230.769230769231,0.0467393784799558,5.446375000000001,0.0849999999999999,0.3346456692913385,0-0-9-3,EH0,common_voice_cv_20788617,group_0,1,fave,81.8485851000755,67.40965574885871,3,тивӗ,0.0,0.2299999999999995,парӑнтарма,<eps>,V,#,V,SIL,final,,,,
359.1601039583508,1507.699794662241,2732.5335470303667,3.291225712298349,2.9152402350611326,4.567425080793677,5333.333333333333,0.0002626164778192,4.341375,0.0349999999999999,0.3365384615384615,0-0-7-7,EY0,common_voice_cv_20788617,group_0,1,fave,110.64506505199574,76.62667518613954,3,чӑрмавсене,0.0,0.08,<eps>,парӑнтарма,S,N,S,N,internal,,,,
296.7597025008788,2629.456852306678,3322.920410737601,3.890522323560754,3.961823654296259,4.027380906737404,7128.205128205128,0.0004953530061273,4.474374999999999,0.041,0.3306451612903226,0-0-7-9,EY1,common_voice_cv_20788617,group_0,1,fave,142.96155192801345,79.00841552440181,3,чӑрмавсене,1.0,0.0999999999999996,<eps>,парӑнтарма,N,#,N,P,final,,,,
