file_name,duration_seconds
common_voice_cv_17333693,3.144
common_voice_cv_17333694,3.336
common_voice_cv_17333695,2.736
common_voice_cv_17333701,3.024
common_voice_cv_17333702,3.264
common_voice_cv_17333704,4.224
common_voice_cv_17333718,2.904
common_voice_cv_17333719,4.176
common_voice_cv_17333720,4.656
common_voice_cv_17333724,4.824
common_voice_cv_17333725,2.544
common_voice_cv_17333726,4.464
common_voice_cv_17339441,6.0343125
common_voice_cv_17339442,3.0563125
common_voice_cv_17339443,3.970625
common_voice_cv_17339444,3.7355
common_voice_cv_17339445,2.638375
common_voice_cv_17339446,4.022875
common_voice_cv_17339447,3.9445
common_voice_cv_17339448,2.951875
common_voice_cv_17339449,3.0040625
common_voice_cv_17339450,4.049
common_voice_cv_17339451,4.3624375
common_voice_cv_17339452,3.4220625
common_voice_cv_17339453,4.231875
common_voice_cv_17339454,4.6498125
common_voice_cv_17339455,4.5975625
common_voice_cv_17339456,3.4481875
common_voice_cv_17339457,2.6645
common_voice_cv_17339458,5.5901875
common_voice_cv_17339459,3.89225
common_voice_cv_17339460,3.4743125
common_voice_cv_17339461,2.71675
common_voice_cv_17339462,4.989375
common_voice_cv_17339463,3.4743125
common_voice_cv_17339464,3.0301875
common_voice_cv_17339465,4.3363125
common_voice_cv_17339466,5.0155
common_voice_cv_17339467,4.3101875
common_voice_cv_17339468,4.127375
common_voice_cv_17339469,6.5045
common_voice_cv_17339470,4.8326875
common_voice_cv_17339471,3.709375
common_voice_cv_17339472,3.761625
common_voice_cv_17339473,3.1085625
common_voice_cv_17339474,2.586125
common_voice_cv_17339475,5.17225
common_voice_cv_17339476,3.3959375
common_voice_cv_17339479,2.847375
common_voice_cv_17339481,2.61225
common_voice_cv_17339482,2.351
common_voice_cv_17339483,4.075125
common_voice_cv_17339484,2.2204375
common_voice_cv_17339485,4.4408125
common_voice_cv_17339486,2.742875
common_voice_cv_17339487,2.951875
common_voice_cv_17339488,2.847375
common_voice_cv_17339489,3.4743125
common_voice_cv_17339490,2.6645
common_voice_cv_17339491,3.84
common_voice_cv_17339492,3.3436875
common_voice_cv_17339493,4.075125
common_voice_cv_17339494,5.5640625
common_voice_cv_17339495,5.06775
common_voice_cv_17339496,6.582875
common_voice_cv_17339497,3.813875
common_voice_cv_17339498,4.4408125
common_voice_cv_17339499,0.9926875
common_voice_cv_17339500,2.533875
common_voice_cv_17339501,5.06775
common_voice_cv_17339502,6.0343125
common_voice_cv_17339503,3.99675
common_voice_cv_17339504,4.6236875
common_voice_cv_17339505,4.8326875
common_voice_cv_17339506,4.3363125
common_voice_cv_17339507,4.2840625
common_voice_cv_17339508,4.8588125
common_voice_cv_17339509,5.511875
common_voice_cv_17339510,3.5004375
common_voice_cv_17339511,5.17225
common_voice_cv_17339512,5.7730625
common_voice_cv_17339513,3.84
common_voice_cv_17339514,4.7020625
common_voice_cv_17339515,3.9445
common_voice_cv_17339516,4.5714375
common_voice_cv_17339518,4.022875
common_voice_cv_17339521,3.813875
common_voice_cv_17339522,3.2130625
common_voice_cv_17339523,3.3436875
common_voice_cv_17339524,2.586125
common_voice_cv_17339525,4.10125
common_voice_cv_17339526,3.709375
common_voice_cv_17339527,4.3624375
common_voice_cv_17339528,5.6424375
common_voice_cv_17339529,2.9779375
common_voice_cv_17339530,3.2914375
common_voice_cv_17339531,2.533875
common_voice_cv_17339532,3.3698125
common_voice_cv_17339533,6.1388125
common_voice_cv_17339534,5.9559375
common_voice_cv_17339535,5.6163125
common_voice_cv_17339536,3.6049375
common_voice_cv_17339537,2.92575
common_voice_cv_17339538,4.3101875
common_voice_cv_17339539,4.5453125
common_voice_cv_17339540,5.27675
common_voice_cv_17339541,3.7355
common_voice_cv_17339542,3.3436875
common_voice_cv_17339543,3.3175625
common_voice_cv_17339544,4.4408125
common_voice_cv_17339545,6.321625
common_voice_cv_17339546,4.2579375
common_voice_cv_17339547,5.8253125
common_voice_cv_17339548,3.3698125
common_voice_cv_17339549,2.1420625
common_voice_cv_17339550,5.093875
common_voice_cv_17339551,5.459625
common_voice_cv_17339552,4.8849375
common_voice_cv_17339553,4.231875
common_voice_cv_17339554,4.6498125
common_voice_cv_17339555,2.377125
common_voice_cv_17339556,4.049
common_voice_cv_17339557,1.6979375
common_voice_cv_17339558,2.8735
common_voice_cv_17339559,2.1420625
common_voice_cv_17339560,4.7281875
common_voice_cv_17339561,2.690625
common_voice_cv_17339562,2.481625
common_voice_cv_17339563,3.866125
common_voice_cv_17339564,2.1159375
common_voice_cv_17339565,3.1608125
common_voice_cv_17339566,3.5004375
common_voice_cv_17339567,4.937125
common_voice_cv_17339568,3.1608125
common_voice_cv_17339569,1.9069375
common_voice_cv_17339570,2.56
common_voice_cv_17339571,2.2204375
common_voice_cv_17339572,2.481625
common_voice_cv_17339573,2.82125
common_voice_cv_17339574,4.1535
common_voice_cv_17339575,3.99675
common_voice_cv_17339576,3.0824375
common_voice_cv_17339577,4.5975625
common_voice_cv_17339578,4.4408125
common_voice_cv_17339579,4.8326875
common_voice_cv_17339580,2.951875
common_voice_cv_17339581,4.8326875
common_voice_cv_17339582,2.4555
common_voice_cv_17339584,2.586125
common_voice_cv_17339586,3.1608125
common_voice_cv_17339588,2.6645
common_voice_cv_17339589,2.82125
common_voice_cv_17339590,4.3624375
common_voice_cv_17339591,3.1085625
common_voice_cv_17339592,2.71675
common_voice_cv_17339593,3.9445
common_voice_cv_17339594,2.50775
common_voice_cv_17339595,2.847375
common_voice_cv_17339596,2.82125
common_voice_cv_17339597,3.5004375
common_voice_cv_17339598,2.586125
common_voice_cv_17339599,3.9445
common_voice_cv_17339600,3.1085625
common_voice_cv_17339601,3.631
common_voice_cv_17339602,3.9445
common_voice_cv_17339603,5.146125
common_voice_cv_17339604,8.5420625
common_voice_cv_17339605,7.497125
common_voice_cv_17339606,3.813875
common_voice_cv_17339607,6.426125
common_voice_cv_17339608,5.6424375
common_voice_cv_17339609,4.4408125
common_voice_cv_17339610,4.127375
common_voice_cv_17339611,3.84
common_voice_cv_17339612,4.231875
common_voice_cv_17339613,4.3363125
common_voice_cv_17339614,3.84
common_voice_cv_17339615,4.96325
common_voice_cv_17339616,4.8326875
common_voice_cv_17339617,5.12
common_voice_cv_17339618,2.769
common_voice_cv_17339619,4.179625
common_voice_cv_17339620,5.329
common_voice_cv_17339621,1.12325
common_voice_cv_17339622,5.8775625
common_voice_cv_17339623,4.937125
common_voice_cv_17339624,4.20575
common_voice_cv_17339625,2.9779375
common_voice_cv_17339626,3.5788125
common_voice_cv_17339627,3.5788125
common_voice_cv_17339628,5.9036875
common_voice_cv_17339629,4.4408125
common_voice_cv_17339630,3.631
common_voice_cv_17339631,3.5526875
common_voice_cv_17339632,3.78775
common_voice_cv_17339633,3.970625
common_voice_cv_17339634,5.2245
common_voice_cv_17339635,5.041625
common_voice_cv_17339636,2.795125
common_voice_cv_17339637,4.4930625
common_voice_cv_17339638,2.533875
common_voice_cv_17339639,4.989375
common_voice_cv_17339640,4.8849375
common_voice_cv_17339641,1.619625
common_voice_cv_17339642,5.2245
common_voice_cv_17339643,5.407375
common_voice_cv_17339644,5.9036875
common_voice_cv_17339645,2.638375
common_voice_cv_17339646,3.3175625
common_voice_cv_17339647,3.2914375
common_voice_cv_17339648,4.7020625
common_voice_cv_17339649,4.022875
common_voice_cv_17339650,6.373875
common_voice_cv_17339651,4.1535
common_voice_cv_17339652,5.302875
common_voice_cv_17339653,3.3698125
common_voice_cv_17339654,4.4930625
common_voice_cv_17339655,3.1085625
common_voice_cv_17339656,3.78775
common_voice_cv_17339657,5.12
common_voice_cv_17339658,5.329
common_voice_cv_17339659,3.2130625
common_voice_cv_17339660,2.9779375
common_voice_cv_17339661,4.7804375
common_voice_cv_17339662,3.0824375
common_voice_cv_17339663,5.48575
common_voice_cv_17339664,3.813875
common_voice_cv_17339665,2.769
common_voice_cv_17339666,6.217125
common_voice_cv_17339667,3.813875
common_voice_cv_17339668,3.6049375
common_voice_cv_17339669,3.2130625
common_voice_cv_17339681,10.7363125
common_voice_cv_17341284,4.7281875
common_voice_cv_17341285,9.038375
common_voice_cv_17341287,7.83675
common_voice_cv_17341289,4.049
common_voice_cv_17341291,3.2914375
common_voice_cv_17341292,5.6685625
common_voice_cv_17341293,3.4220625
common_voice_cv_17341297,2.586125
common_voice_cv_17341298,2.56
common_voice_cv_17341299,3.0824375
common_voice_cv_17341300,3.1085625
common_voice_cv_17341301,2.847375
common_voice_cv_17341302,3.0040625
common_voice_cv_17341303,3.6049375
common_voice_cv_17341304,3.4481875
common_voice_cv_17341305,2.2988125
common_voice_cv_17341306,5.8775625
common_voice_cv_17341307,5.146125
common_voice_cv_17341308,4.127375
common_voice_cv_17341309,2.481625
common_voice_cv_17341310,3.970625
common_voice_cv_17341311,2.899625
common_voice_cv_17341312,3.631
common_voice_cv_17341314,2.847375
common_voice_cv_17341316,3.3436875
common_voice_cv_17341318,1.8285625
common_voice_cv_17341319,3.1346875
common_voice_cv_17341320,3.709375
common_voice_cv_17341321,3.0824375
common_voice_cv_17341322,1.7240625
common_voice_cv_17341323,5.093875
common_voice_cv_17341324,2.533875
common_voice_cv_17341325,3.99675
common_voice_cv_17341326,4.10125
common_voice_cv_17341327,2.899625
common_voice_cv_17341328,4.5453125
common_voice_cv_17341329,3.3698125
common_voice_cv_17341330,4.8588125
common_voice_cv_17341331,2.638375
common_voice_cv_17341332,3.0301875
common_voice_cv_17341336,26.3053125
common_voice_cv_17341337,5.17225
common_voice_cv_17341338,3.4220625
common_voice_cv_17341339,3.1346875
common_voice_cv_17341340,4.3363125
common_voice_cv_17341341,2.533875
common_voice_cv_17341342,3.0563125
common_voice_cv_17341343,4.5975625
common_voice_cv_17341344,4.6236875
common_voice_cv_17341345,4.049
common_voice_cv_17341346,3.5265625
common_voice_cv_17341347,4.2579375
common_voice_cv_17341348,2.586125
common_voice_cv_17341349,5.250625
common_voice_cv_17341350,4.3363125
common_voice_cv_17341352,4.5191875
common_voice_cv_17341354,4.8326875
common_voice_cv_17341356,5.0155
common_voice_cv_17341357,6.9485625
common_voice_cv_17341358,3.813875
common_voice_cv_17341359,2.742875
common_voice_cv_17341360,3.99675
common_voice_cv_17341361,4.3363125
common_voice_cv_17341362,3.4481875
common_voice_cv_17341363,5.7730625
common_voice_cv_17341364,2.690625
common_voice_cv_17341365,4.7804375
common_voice_cv_17341366,7.0791875
common_voice_cv_17341367,4.4408125
common_voice_cv_17341370,4.127375
common_voice_cv_17341372,5.6424375
common_voice_cv_17341373,2.1681875
common_voice_cv_17341374,4.7020625
common_voice_cv_17341375,3.918375
common_voice_cv_17341379,3.2914375
common_voice_cv_17341380,4.7020625
common_voice_cv_17341382,4.3624375
common_voice_cv_17341385,3.84
common_voice_cv_17341386,2.61225
common_voice_cv_17341387,2.742875
common_voice_cv_17341388,4.6759375
common_voice_cv_17341389,3.68325
common_voice_cv_17341390,3.2653125
common_voice_cv_17341391,3.0563125
common_voice_cv_17341392,4.911
common_voice_cv_17341393,3.4220625
common_voice_cv_17341394,5.329
common_voice_cv_17341395,5.38125
common_voice_cv_17341396,3.4743125
common_voice_cv_17341397,4.3363125
common_voice_cv_17341400,3.813875
common_voice_cv_17341401,3.5788125
common_voice_cv_17341403,4.96325
common_voice_cv_17341404,5.198375
common_voice_cv_17341405,3.970625
common_voice_cv_17341406,4.5453125
common_voice_cv_17341407,2.795125
common_voice_cv_17341414,3.5788125
common_voice_cv_17341415,3.3698125
common_voice_cv_17341416,4.3885625
common_voice_cv_17341417,4.5714375
common_voice_cv_17341418,3.3698125
common_voice_cv_17341419,2.8735
common_voice_cv_17341420,6.0865625
common_voice_cv_17341421,4.8065625
common_voice_cv_17341422,3.0040625
common_voice_cv_17341423,2.951875
common_voice_cv_17341424,3.3436875
common_voice_cv_17341425,3.970625
common_voice_cv_17341426,3.84
common_voice_cv_17341428,4.5975625
common_voice_cv_17341430,4.3101875
common_voice_cv_17341431,4.8065625
common_voice_cv_17341432,2.1159375
common_voice_cv_17341434,1.8546875
common_voice_cv_17341435,3.1346875
common_voice_cv_17341436,5.0155
common_voice_cv_17341437,5.6424375
common_voice_cv_17341438,1.8808125
common_voice_cv_17341439,2.899625
common_voice_cv_17341440,2.795125
common_voice_cv_17341441,2.795125
common_voice_cv_17341442,3.99675
common_voice_cv_17341443,6.0081875
common_voice_cv_17341444,3.7355
common_voice_cv_17341446,5.9036875
common_voice_cv_17341448,2.481625
common_voice_cv_17341449,4.989375
common_voice_cv_17341451,4.127375
common_voice_cv_17341452,4.127375
common_voice_cv_17341453,4.20575
common_voice_cv_17341454,4.4146875
common_voice_cv_17341455,3.813875
common_voice_cv_17341456,5.511875
common_voice_cv_17341457,5.407375
common_voice_cv_17341458,5.511875
common_voice_cv_17341459,5.093875
common_voice_cv_17341460,3.5526875
common_voice_cv_17341461,7.0530625
common_voice_cv_17341463,4.8065625
common_voice_cv_17341465,5.5640625
common_voice_cv_17341466,2.377125
