F1,F2,F3,B1,B2,B3,max_formant,smooth_error,time,rel_time,prop_time,id,label,file_name,group,speaker_num,point_heuristic,f0,intensity,optimized,word,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context,phon_stress,sidx,sN,syl_pos,syl_open_closed
244.71700554068084,369.2054632671712,2503.271731709057,2.9482059612543847,2.3128187947371086,4.348263524860837,4256.410256410256,0.0005691274493022,1.0373750000000002,0.027,0.3214285714285714,0-0-1-1,UX,common_voice_cv_21690635,group_0,1,fave,122.49757411751855,73.01173537655727,3,ɕ.UXL.'EYR.EYHH,0.06,,'P.AAL.AHRTN.AH,ɕ,L,ɕ,L,internal,0,1,3,initial,open
307.45895289187706,451.5292116714057,1788.7795831920105,3.177853940946257,2.74609566909838,3.4090541902135656,3897.4358974358975,0.0010462803690813,1.221375,0.0549999999999999,0.3353658536585365,0-0-1-3,EY,common_voice_cv_21690635,group_0,1,fave,118.49956433677984,72.04184112437238,3,ɕ.UXL.'EYR.EYHH,0.1400000000000001,,'P.AAL.AHRTN.AH,L,R,L,R,internal,0,2,3,med,open
419.0653647239137,1871.0859811939824,2461.80281747722,2.866666995964166,2.6904418530131973,2.7761486714581927,6230.769230769231,0.000158771519477,1.3873750000000002,0.047,0.3263888888888889,0-0-1-5,EY,common_voice_cv_21690635,group_0,1,fave,143.27738979093178,75.5782461082742,3,ɕ.UXL.'EYR.EYHH,0.1199999999999998,,'P.AAL.AHRTN.AH,R,HH,R,HH,internal,1,3,3,final,closed
559.4870088101409,1079.3180052725604,2351.3822992545,2.748927144296703,3.266771530903761,2.8530325439692867,6769.2307692307695,0.0001933950274238,1.936375,0.045,0.335820895522388,0-0-2-3,AH,common_voice_cv_21690635,group_0,1,fave,154.10749879856235,77.90722339848098,3,'P.AAL.AHRTN.AH,0.1099999999999998,ɕ.UXL.'EYR.EYHH,,L,R,L,R,internal,0,2,3,med,closed
538.4622560004094,1285.636860551189,4260.852804758779,3.1056031969012152,3.128404966001379,4.642008812321025,7307.692307692308,0.0009451501208685,2.242375,0.037,0.324561403508772,0-0-2-7,AH,common_voice_cv_21690635,group_0,1,fave,110.8392646185655,66.22184103770203,3,'P.AAL.AHRTN.AH,0.0899999999999998,ɕ.UXL.'EYR.EYHH,,N,#,N,,final,0,3,3,final,open
216.0370949737583,417.41593041521696,1669.5011189496993,2.647586833368797,2.5111040024045983,3.0167681020572417,4256.410256410256,0.0004962457480546,2.572375,0.037,0.324561403508772,0-0-4-3,EY,common_voice_cv_21690635,group_0,1,fave,116.06818275478729,70.0045703636599,3,K.OWL.EYKT.'IYVS.EYM,0.0899999999999998,,,L,K,L,K,internal,0,2,4,med,closed
518.2022959888477,1565.6141075341518,2451.1704884238,3.2498089821254776,2.699967633867394,2.274788832925979,5871.794871794871,0.0003167545298903,3.1143750000000003,0.041,0.3306451612903227,0-0-4-9,EY,common_voice_cv_21690635,group_0,1,fave,140.46019557348177,73.30757628796846,3,K.OWL.EYKT.'IYVS.EYM,0.1,,,S,M,S,M,internal,1,4,4,final,closed
502.8325003141391,1602.2730039601377,2407.1674217092154,2.2784141690826214,1.9120243976977496,2.5220505447503427,6589.74358974359,1.44795095668e-05,3.417375,0.027,0.3214285714285714,0-0-6-1,EH,common_voice_cv_21690635,group_0,1,fave,117.00251357448973,69.40680452772965,3,T.'EHPL.EYNtʃtʃ.EHR,0.06,,,T,P,T,P,internal,0,1,3,initial,closed
279.941644221764,443.1826758498148,1765.267667274334,3.008289652216264,2.865033046995344,3.0076705184159698,3179.48717948718,0.0023287103550469,3.629375,0.071,0.3317757009345794,0-0-6-4,EY,common_voice_cv_21690635,group_0,1,fave,127.58418208167278,72.62114650509163,3,T.'EHPL.EYNtʃtʃ.EHR,0.1899999999999999,,,L,N,L,N,internal,1,2,3,med,open
497.9206004313116,1609.6745652441398,2460.8634008228355,2.9583060113892623,2.6587849308295817,3.039583298375288,5512.820512820513,7.33130786125e-05,4.027375,0.027,0.3214285714285714,0-0-6-8,EH,common_voice_cv_21690635,group_0,1,fave,100.99965207525084,65.7561640353697,3,T.'EHPL.EYNtʃtʃ.EHR,0.0600000000000005,,,tʃ,R,tʃ,R,internal,0,3,3,final,closed
