path	client_id	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment	dur	speaker_id
common_voice_cv_17341614.mp3	480b6be1f02074b044f89f7ab6e74986ef49ca4046f0adb01f9c4acaf2a2472b2857a03f1b5e508f7549918740c5e3695efd33825a35b702f3acd19cb4edc5a6	99e3179d0cf32e1f665e0afc81625bb90f23f441420872359d53e3fcb5589ffc	Унта ҫырмана ҫирӗплетме ыйтнӑ.		2	1	twenties	male_masculine			cv		5.304	1
common_voice_cv_18029088.mp3	9a0fcc1ad05bded4d7c733c9d0bcde8b12bcbe0457dfa84215ae7845311512207de5ebfd92259529c6746abb67050cd509eeab81b58cff4614743f2dcdf88c28	b7f87d224b6aaaf707316dff3e8cd13b80e863a776975cd2d39c510253a19140	Унӑн телефонӗ хаш чухне сӳннӗ, тепӗр чухне вӑл ӑна тытмасть.		2	0					cv		9.144	2
common_voice_cv_18690267.mp3	9d4b284917538e62d36cf04bdb8c95f54817c1258385ba7af4d1dca6723525de369c98a5df67e9e76e2cb91b3637a0c0a9356f26c7e2a6825e6e367a95f7c760	64ffab5404c8e4ae0d5c4b9041f32606880259bc9382e6f7824da2104f44774b	Ют чӗлхесене ӑса хывас тӗлӗшпе ӑнӑҫу кӗтет.		2	1	twenties	male_masculine			cv		7.8	3
common_voice_cv_17431947.mp3	e77841a12106f909f382fb8a793cb0a51e0ff830f0556701fe4c035db82d05ea2c6c0412aa23129f0144099222d965d54a38df807bc015d7caa72cba7f6c6071	4349054a954a9e63dfd37966f5b2d6495bd0a64a243db92e40c35a0e96992ba8	Вӗсене ҫынна асӑрханмасӑр вилӗм кӳнӗшӗн айӑпланӑ.		2	1					cv		9.216	4
common_voice_cv_17656099.mp3	831a18fc2645d57326a66cc36237f246a6980a5b3cf1edc3175f9f5387724f0a4bf9fb3f2fe1385feefd507d99f5b360851c0e858591bc8a667a47733002994b	458f8950a9b7c4f96110c29feed29bf15e9ef62fa956c39a6fe1371c643cbecc	Прокуратура «Сад» хуҫалӑх тӗлӗшпе суда тавӑҫ тӑратнӑ.		2	0					cv		4.584	5
common_voice_cv_17656100.mp3	831a18fc2645d57326a66cc36237f246a6980a5b3cf1edc3175f9f5387724f0a4bf9fb3f2fe1385feefd507d99f5b360851c0e858591bc8a667a47733002994b	43ef084215ed3c6596d56edaeb5b98a57f6ec56d990bd71e8783b7cc48656631	Эпӗ ют чӗлхесене вӗренме кӑмӑллатӑп, «Маленький принц» кӗнеке питӗ килӗшет.		2	0					cv		6.264	5
common_voice_cv_35216311.mp3	e64fd11bd977966ff0113936cec9dde543a26cd6ac7734c56b32478b2179ca79ea3b80205ab76a9d638ef560b3e8c4d47b57ef6f29eff7ccd1ee4df12e8a3b3c	cd4144bc80db87186e6d98bdfcd2c152d1eaa74a60565d90b8f4f5adcf0fdab9	вуннӑ		2	0					cv	Benchmark	1.44	6
common_voice_cv_35216312.mp3	e64fd11bd977966ff0113936cec9dde543a26cd6ac7734c56b32478b2179ca79ea3b80205ab76a9d638ef560b3e8c4d47b57ef6f29eff7ccd1ee4df12e8a3b3c	8162010209ab9b002db4102d550e1df62e2907c2692c68ba109f65a4f8aea6c4	саккӑр		2	0					cv	Benchmark	1.584	6
common_voice_cv_17878111.mp3	f7fe2c33bfba939abe3893f77e92b39524ca4d59961a71805dac95ba3c43780d12e3f67fa3aa39c29f7978d3b3b0a5f09b0c6edd927d8bba97f35c74d24b02c4	f122bcdc61d3b7a01ef7da71177c94999852ead8529087ede9345434f8c8c6af	Ҫӗнӗ Шупашкарта пурӑнакан Илюхинсен каллех йӗкӗреш ҫуралнӑ.		2	0					cv		4.944	7
common_voice_cv_17878112.mp3	f7fe2c33bfba939abe3893f77e92b39524ca4d59961a71805dac95ba3c43780d12e3f67fa3aa39c29f7978d3b3b0a5f09b0c6edd927d8bba97f35c74d24b02c4	d47d0f006d10e382a318afc3572c94cfb15555b6dfb2813db720467fff62ea39	Халӑх фрончӗн хастарӗсене ҫул проекчӗ уйрӑмах тӗлӗнтернӗ.		2	0					cv		8.016	7
